"actor","target","platform","interaction","timestamp"
"+919810000101","rajesh.kumar@upi","WhatsApp","message","2026-09-08T14:31:00.0000000+05:30"
"rajesh.kumar@upi","meena.shah@upi","WhatsApp","message","2026-09-08T14:32:00.0000000+05:30"
"@bridge.operator","@arjun.verma","Instagram","post","2026-09-08T14:33:00.0000000+05:30"
"@arjun.verma","@bridge.operator","WhatsApp","MENTION","2026-09-08T14:35:00.0000000+05:30"
"@nisha.rao","@sanjay.jain","Instagram","message","2026-09-08T14:36:00.0000000+05:30"
"@sanjay.jain","@pooja.mehta","WhatsApp","message","2026-09-08T14:37:00.0000000+05:30"
"@pooja.mehta","@bridge.operator","Instagram","message","2026-09-08T14:38:00.0000000+05:30"
"@farhan.traders","@arjun.verma","WhatsApp","MENTION","2026-09-08T14:39:00.0000000+05:30"
"@arjun.verma","@nisha.rao","Instagram","message","2026-09-08T14:40:00.0000000+05:30"
"@nisha.rao","@bridge.operator","WhatsApp","message","2026-09-08T14:41:00.0000000+05:30"
"@sanjay.jain","@pooja.mehta","Instagram","message","2026-09-08T14:42:00.0000000+05:30"
"@pooja.mehta","@farhan.traders","WhatsApp","MENTION","2026-09-08T14:43:00.0000000+05:30"
"@farhan.traders","@bridge.operator","Instagram","message","2026-09-08T14:44:00.0000000+05:30"
"@arjun.verma","@nisha.rao","WhatsApp","message","2026-09-08T14:45:00.0000000+05:30"
"@nisha.rao","@sanjay.jain","Instagram","message","2026-09-08T14:46:00.0000000+05:30"
"@sanjay.jain","@bridge.operator","WhatsApp","MENTION","2026-09-08T14:47:00.0000000+05:30"
"@pooja.mehta","@farhan.traders","Instagram","message","2026-09-08T14:48:00.0000000+05:30"
"@farhan.traders","@arjun.verma","WhatsApp","message","2026-09-08T14:49:00.0000000+05:30"
"@arjun.verma","@bridge.operator","Instagram","message","2026-09-08T14:50:00.0000000+05:30"
"@nisha.rao","@sanjay.jain","WhatsApp","MENTION","2026-09-08T14:51:00.0000000+05:30"
"@sanjay.jain","@pooja.mehta","Instagram","message","2026-09-08T14:52:00.0000000+05:30"
"@pooja.mehta","@bridge.operator","WhatsApp","message","2026-09-08T14:53:00.0000000+05:30"
"@farhan.traders","@arjun.verma","Instagram","message","2026-09-08T14:54:00.0000000+05:30"
"@arjun.verma","@nisha.rao","WhatsApp","MENTION","2026-09-08T14:55:00.0000000+05:30"
"@nisha.rao","@bridge.operator","Instagram","message","2026-09-08T14:56:00.0000000+05:30"
"@sanjay.jain","@pooja.mehta","WhatsApp","message","2026-09-08T14:57:00.0000000+05:30"
"@pooja.mehta","@farhan.traders","Instagram","message","2026-09-08T14:58:00.0000000+05:30"
"@farhan.traders","@bridge.operator","WhatsApp","MENTION","2026-09-08T14:59:00.0000000+05:30"
"@arjun.verma","@nisha.rao","Instagram","message","2026-09-08T15:00:00.0000000+05:30"
"@nisha.rao","@sanjay.jain","WhatsApp","message","2026-09-08T15:01:00.0000000+05:30"
"@sanjay.jain","@bridge.operator","Instagram","message","2026-09-08T15:02:00.0000000+05:30"
"@pooja.mehta","@farhan.traders","WhatsApp","MENTION","2026-09-08T15:03:00.0000000+05:30"
"@farhan.traders","@arjun.verma","Instagram","message","2026-09-08T15:04:00.0000000+05:30"
"@arjun.verma","@bridge.operator","WhatsApp","message","2026-09-08T15:05:00.0000000+05:30"
"@nisha.rao","@sanjay.jain","Instagram","message","2026-09-08T15:06:00.0000000+05:30"
"@sanjay.jain","@pooja.mehta","WhatsApp","MENTION","2026-09-08T15:07:00.0000000+05:30"
"@pooja.mehta","@bridge.operator","Instagram","message","2026-09-08T15:08:00.0000000+05:30"
"@farhan.traders","@arjun.verma","WhatsApp","message","2026-09-08T15:09:00.0000000+05:30"
"@arjun.verma","@nisha.rao","Instagram","message","2026-09-08T15:10:00.0000000+05:30"
"@nisha.rao","@bridge.operator","WhatsApp","MENTION","2026-09-08T15:11:00.0000000+05:30"
"@sanjay.jain","@pooja.mehta","Instagram","message","2026-09-08T15:12:00.0000000+05:30"
"@pooja.mehta","@farhan.traders","WhatsApp","message","2026-09-08T15:13:00.0000000+05:30"
"@farhan.traders","@bridge.operator","Instagram","message","2026-09-08T15:14:00.0000000+05:30"
"@arjun.verma","@nisha.rao","WhatsApp","MENTION","2026-09-08T15:15:00.0000000+05:30"
"@nisha.rao","@sanjay.jain","Instagram","message","2026-09-08T15:16:00.0000000+05:30"
"@sanjay.jain","@bridge.operator","WhatsApp","message","2026-09-08T15:17:00.0000000+05:30"
"@pooja.mehta","@farhan.traders","Instagram","message","2026-09-08T15:18:00.0000000+05:30"
"@farhan.traders","@arjun.verma","WhatsApp","MENTION","2026-09-08T15:19:00.0000000+05:30"
"@arjun.verma","@bridge.operator","Instagram","message","2026-09-08T15:20:00.0000000+05:30"
"@nisha.rao","@sanjay.jain","WhatsApp","message","2026-09-08T15:21:00.0000000+05:30"
"@sanjay.jain","@pooja.mehta","Instagram","message","2026-09-08T15:22:00.0000000+05:30"
"@pooja.mehta","@bridge.operator","WhatsApp","MENTION","2026-09-08T15:23:00.0000000+05:30"
"@farhan.traders","@arjun.verma","Instagram","message","2026-09-08T15:24:00.0000000+05:30"
"@arjun.verma","@nisha.rao","WhatsApp","message","2026-09-08T15:25:00.0000000+05:30"
"@nisha.rao","@bridge.operator","Instagram","message","2026-09-08T15:26:00.0000000+05:30"
"@sanjay.jain","@pooja.mehta","WhatsApp","MENTION","2026-09-08T15:27:00.0000000+05:30"
"@pooja.mehta","@farhan.traders","Instagram","message","2026-09-08T15:28:00.0000000+05:30"
"@farhan.traders","@bridge.operator","WhatsApp","message","2026-09-08T15:29:00.0000000+05:30"
"@arjun.verma","@nisha.rao","Instagram","message","2026-09-08T15:30:00.0000000+05:30"
"@nisha.rao","@sanjay.jain","WhatsApp","MENTION","2026-09-08T15:31:00.0000000+05:30"
"@sanjay.jain","@bridge.operator","Instagram","message","2026-09-08T15:32:00.0000000+05:30"
"@pooja.mehta","@farhan.traders","WhatsApp","message","2026-09-08T15:33:00.0000000+05:30"
"@farhan.traders","@arjun.verma","Instagram","message","2026-09-08T15:34:00.0000000+05:30"
"@arjun.verma","@bridge.operator","WhatsApp","MENTION","2026-09-08T15:35:00.0000000+05:30"
"@nisha.rao","@sanjay.jain","Instagram","message","2026-09-08T15:36:00.0000000+05:30"
"@sanjay.jain","@pooja.mehta","WhatsApp","message","2026-09-08T15:37:00.0000000+05:30"
"@pooja.mehta","@bridge.operator","Instagram","message","2026-09-08T15:38:00.0000000+05:30"
"@farhan.traders","@arjun.verma","WhatsApp","MENTION","2026-09-08T15:39:00.0000000+05:30"
"@arjun.verma","@nisha.rao","Instagram","message","2026-09-08T15:40:00.0000000+05:30"
"@nisha.rao","@bridge.operator","WhatsApp","message","2026-09-08T15:41:00.0000000+05:30"
"@sanjay.jain","@pooja.mehta","Instagram","message","2026-09-08T15:42:00.0000000+05:30"
"@pooja.mehta","@farhan.traders","WhatsApp","MENTION","2026-09-08T15:43:00.0000000+05:30"
"@farhan.traders","@bridge.operator","Instagram","message","2026-09-08T15:44:00.0000000+05:30"
"@arjun.verma","@nisha.rao","WhatsApp","message","2026-09-08T15:45:00.0000000+05:30"
"@nisha.rao","@sanjay.jain","Instagram","message","2026-09-08T15:46:00.0000000+05:30"
"@sanjay.jain","@bridge.operator","WhatsApp","MENTION","2026-09-08T15:47:00.0000000+05:30"
"@pooja.mehta","@farhan.traders","Instagram","message","2026-09-08T15:48:00.0000000+05:30"
"@farhan.traders","@arjun.verma","WhatsApp","message","2026-09-08T15:49:00.0000000+05:30"
"@arjun.verma","@bridge.operator","Instagram","message","2026-09-08T15:50:00.0000000+05:30"
"@nisha.rao","@sanjay.jain","WhatsApp","MENTION","2026-09-08T15:51:00.0000000+05:30"
"@sanjay.jain","@pooja.mehta","Instagram","message","2026-09-08T15:52:00.0000000+05:30"
"@pooja.mehta","@bridge.operator","WhatsApp","message","2026-09-08T15:53:00.0000000+05:30"
"@farhan.traders","@arjun.verma","Instagram","message","2026-09-08T15:54:00.0000000+05:30"
"@arjun.verma","@nisha.rao","WhatsApp","MENTION","2026-09-08T15:55:00.0000000+05:30"
"@nisha.rao","@bridge.operator","Instagram","message","2026-09-08T15:56:00.0000000+05:30"
"@sanjay.jain","@pooja.mehta","WhatsApp","message","2026-09-08T15:57:00.0000000+05:30"
"@pooja.mehta","@farhan.traders","Instagram","message","2026-09-08T15:58:00.0000000+05:30"
"@farhan.traders","@bridge.operator","WhatsApp","MENTION","2026-09-08T15:59:00.0000000+05:30"
"@arjun.verma","@nisha.rao","Instagram","message","2026-09-08T16:00:00.0000000+05:30"
"@nisha.rao","@sanjay.jain","WhatsApp","message","2026-09-08T16:01:00.0000000+05:30"
"@sanjay.jain","@bridge.operator","Instagram","message","2026-09-08T16:02:00.0000000+05:30"
"@pooja.mehta","@farhan.traders","WhatsApp","MENTION","2026-09-08T16:03:00.0000000+05:30"
